<<<<<<< HEAD
2024-11-17 07:28:56.328 | SUCCESS  | utils.ClientLogManager:log:35 - <class 'ui.boxes.PlotVzBox.PlotVzBox'> 实例已添加到 boxes 列表中。
2024-11-17 07:43:46.741 | INFO     | utils.ClientLogManager:log:35 - Add new subscriber(Node 0_0ef5ef40-9bfd-493e-977f-1a4d02dc4b08, Node 3_pub, Node 3)
2024-11-17 07:44:05.539 | SUCCESS  | utils.ClientLogManager:log:35 - <class 'ui.boxes.MessageBox.MessageBox'> 实例已添加到 boxes 列表中。
2024-11-17 07:44:12.118 | INFO     | utils.ClientLogManager:log:35 - Add new subscriber(Node 0_0ef5ef40-9bfd-493e-977f-1a4d02dc4b08, Node 7_pub, Node 7)
2024-11-17 07:45:12.134 | SUCCESS  | utils.ClientLogManager:log:35 - <class 'ui.boxes.MessageBox.MessageBox'> 实例已添加到 boxes 列表中。
2024-11-17 07:45:14.083 | INFO     | utils.ClientLogManager:log:35 - Add new subscriber(Node 0_0b9fafb1-7485-4a3a-a3ac-c37d4d419bed, Node 7_pub, Node 7)
2024-11-17 07:45:14.834 | INFO     | utils.ClientLogManager:log:35 - Add new subscriber(Node 0_0b9fafb1-7485-4a3a-a3ac-c37d4d419bed, Node 5_pub, Node 5)
2024-11-17 07:45:16.864 | INFO     | utils.ClientLogManager:log:35 - Add new subscriber(Node 0_0b9fafb1-7485-4a3a-a3ac-c37d4d419bed, Node 3_pub, Node 3)
2024-11-17 07:45:19.182 | INFO     | utils.ClientLogManager:log:35 - Add new subscriber(Node 0_0b9fafb1-7485-4a3a-a3ac-c37d4d419bed, Node 4_pub, Node 4)
2024-11-17 07:45:27.072 | INFO     | utils.ClientLogManager:log:35 - Add new subscriber(Node 0_0b9fafb1-7485-4a3a-a3ac-c37d4d419bed, Node 1_pub, Node 1)
2024-11-17 07:45:27.362 | INFO     | utils.ClientLogManager:log:35 - Add new subscriber(Node 0_0b9fafb1-7485-4a3a-a3ac-c37d4d419bed, Node 0_pub, Node 0)
2024-11-17 07:45:27.712 | INFO     | utils.ClientLogManager:log:35 - Add new subscriber(Node 0_0b9fafb1-7485-4a3a-a3ac-c37d4d419bed, Node 2_pub, Node 2)
2024-11-17 07:45:28.003 | INFO     | utils.ClientLogManager:log:35 - Add new subscriber(Node 0_0b9fafb1-7485-4a3a-a3ac-c37d4d419bed, Node 9_pub, Node 9)
2024-11-17 07:45:28.751 | INFO     | utils.ClientLogManager:log:35 - Add new subscriber(Node 0_0b9fafb1-7485-4a3a-a3ac-c37d4d419bed, Node 6_pub, Node 6)
2024-11-17 07:45:29.511 | INFO     | utils.ClientLogManager:log:35 - Add new subscriber(Node 0_0b9fafb1-7485-4a3a-a3ac-c37d4d419bed, Node 8_pub, Node 8)
2024-11-17 07:48:06.312 | SUCCESS  | utils.ClientLogManager:log:35 - <class 'ui.boxes.MessageBox.MessageBox'> 实例已添加到 boxes 列表中。
2024-11-17 07:48:45.461 | SUCCESS  | utils.ClientLogManager:log:35 - <class 'ui.boxes.MessageBox.MessageBox'> 实例已添加到 boxes 列表中。
2024-11-17 07:49:15.929 | SUCCESS  | utils.ClientLogManager:log:35 - <class 'ui.boxes.MessageBox.MessageBox'> 实例已添加到 boxes 列表中。
2024-11-17 07:59:02.361 | SUCCESS  | utils.ClientLogManager:log:35 - <class 'ui.boxes.MessageBox.MessageBox'> 实例已添加到 boxes 列表中。
2024-11-17 08:49:01.518 | SUCCESS  | utils.ClientLogManager:log:35 - <class 'ui.boxes.MessageBox.MessageBox'> 实例已添加到 boxes 列表中。
2024-11-17 08:49:17.558 | SUCCESS  | utils.ClientLogManager:log:35 - <class 'ui.boxes.MessageBox.MessageBox'> 实例已添加到 boxes 列表中。
2024-11-17 08:53:00.563 | SUCCESS  | utils.ClientLogManager:log:35 - <class 'ui.boxes.MessageBox.MessageBox'> 实例已添加到 boxes 列表中。
2024-11-17 08:53:28.954 | SUCCESS  | utils.ClientLogManager:log:35 - <class 'ui.boxes.MessageBox.MessageBox'> 实例已添加到 boxes 列表中。
2024-11-17 08:53:40.934 | SUCCESS  | utils.ClientLogManager:log:35 - <class 'ui.boxes.MessageBox.MessageBox'> 实例已添加到 boxes 列表中。
2024-11-17 08:53:59.224 | SUCCESS  | utils.ClientLogManager:log:35 - <class 'ui.boxes.MessageBox.MessageBox'> 实例已添加到 boxes 列表中。
2024-11-17 08:54:09.614 | SUCCESS  | utils.ClientLogManager:log:35 - <class 'ui.boxes.MessageBox.MessageBox'> 实例已添加到 boxes 列表中。
2024-11-17 08:54:34.936 | SUCCESS  | utils.ClientLogManager:log:35 - <class 'ui.boxes.MessageBox.MessageBox'> 实例已添加到 boxes 列表中。
2024-11-17 08:57:04.227 | SUCCESS  | utils.ClientLogManager:log:35 - <class 'ui.boxes.MessageBox.MessageBox'> 实例已添加到 boxes 列表中。
2024-11-17 08:57:22.707 | SUCCESS  | utils.ClientLogManager:log:35 - <class 'ui.boxes.MessageBox.MessageBox'> 实例已添加到 boxes 列表中。
2024-11-17 08:58:24.468 | SUCCESS  | utils.ClientLogManager:log:35 - <class 'ui.boxes.MessageBox.MessageBox'> 实例已添加到 boxes 列表中。
2024-11-17 09:03:11.921 | SUCCESS  | utils.ClientLogManager:log:35 - <class 'ui.boxes.MessageBox.MessageBox'> 实例已添加到 boxes 列表中。
2024-11-17 09:03:41.751 | SUCCESS  | utils.ClientLogManager:log:35 - <class 'ui.boxes.MessageBox.MessageBox'> 实例已添加到 boxes 列表中。
2024-11-17 09:03:50.961 | SUCCESS  | utils.ClientLogManager:log:35 - <class 'ui.boxes.MessageBox.MessageBox'> 实例已添加到 boxes 列表中。
2024-11-17 09:38:28.861 | INFO     | utils.ClientLogManager:log:35 - Add new subscriber(Node 0_047aba29-5411-49a3-9e68-e2cd1d1d7f15, Node 4_pub, Node 4)
2024-11-17 09:39:22.120 | SUCCESS  | utils.ClientLogManager:log:35 - <class 'ui.boxes.MessageBox.MessageBox'> 实例已添加到 boxes 列表中。
2024-11-17 09:40:09.700 | SUCCESS  | utils.ClientLogManager:log:35 - <class 'ui.boxes.MessageBox.MessageBox'> 实例已添加到 boxes 列表中。
2024-11-17 09:44:37.430 | SUCCESS  | utils.ClientLogManager:log:35 - <class 'ui.boxes.LogReaderBox.LogReaderBox'> 实例已添加到 boxes 列表中。
2024-11-17 09:44:37.440 | ERROR    | utils.ClientLogManager:log:35 - Loop Failed! 'LogReaderBox' object has no attribute 'msg_child_window_tag'
=======
2024-11-17 09:38:42.251 | ERROR    | utils.ClientLogManager:log:39 - Unable to instantiate <class 'ui.boxes.ParamBox.ParamBox'>: This box can only be created once
2024-11-17 09:38:42.771 | ERROR    | utils.ClientLogManager:log:39 - Unable to instantiate <class 'ui.boxes.ParamBox.ParamBox'>: This box can only be created once
2024-11-17 09:39:42.140 | ERROR    | utils.ClientLogManager:log:39 - Unable to instantiate <class 'ui.boxes.ParamBox.ParamBox'>: This box can only be created once
2024-11-17 09:39:43.620 | ERROR    | utils.ClientLogManager:log:39 - Unable to instantiate <class 'ui.boxes.MessageBox.MessageBox'>: This box can only be created once
>>>>>>> d8110d86676ef01677fcc956d73424885a86352b
2024-11-17 09:48:35.212 | ERROR    | utils.ClientLogManager:log:39 - Loop Failed! 'LogReaderBox' object has no attribute 'msg_child_window_tag'
2024-11-17 10:53:37.472 | ERROR    | utils.ClientLogManager:log:39 - Loop Failed! <built-in function add_collapsing_header> returned a result with an exception set
2024-11-17 10:53:50.832 | ERROR    | utils.ClientLogManager:log:39 - Loop Failed! <built-in function add_collapsing_header> returned a result with an exception set
2024-11-17 10:53:52.683 | ERROR    | utils.ClientLogManager:log:39 - Unable to instantiate <class 'ui.boxes.MessageBox.MessageBox'>: This box can only be created once
